"c";"i";"g";"x";"m";"y";"cn";"us"
"108013,04";"33266,7100000000";"35503,2300000000";"12645,25";"13696,72";"175731,51";"1,462800e+12";"1925313"
"112161,27";"36227,6400000000";"36962,5600000000";"13904,32";"16388,47";"182867,32";"1,714750e+12";"2005112"
"117771,28";"37688,0900000000";"38783,5000000000";"14175,08";"19098,50";"189319,45";"1,860580e+12";"2035152"
"126373,40";"37749,3200000000";"33802,5700000000";"12205,40";"21306,45";"188824,24";"2,143240e+12";"2107553"
"116539,91";"37012,8200000000";"35940,9900000000";"12583,75";"17469,31";"184608,16";"1,668910e+12";"2043518"
"118881,66";"40103,5600000000";"36670,0300000000";"15897,84";"20292,90";"191260,19";"1,916360e+12";"2129626"
"120195,36";"40895,7500000000";"36566,7300000000";"16655,43";"22132,61";"192180,66";"2,050090e+12";"2166497"
"122784,74";"39120,1600000000";"37682,0800000000";"13625,55";"20883,42";"192329,11";"2,336150e+12";"2237911"
"115955,51";"38304,2100000000";"36380,0500000000";"13895,03";"18841,59";"185693,21";"1,804910e+12";"2160749"
"117598,09";"40965,7500000000";"37498,7400000000";"16662,40";"19836,49";"192888,49";"2,029660e+12";"2249930"
"120234,11";"40401,4100000000";"38532,6000000000";"16632,92";"21670,63";"194130,41";"2,177560e+12";"2281444"
"121169,40";"37203,4700000000";"39179,9200000000";"14456,40";"20383,77";"191625,42";"2,507420e+12";"2370698"
"114869,73";"35087,2000000000";"36637,3900000000";"13881,70";"15475,85";"185000,17";"1,936190e+12";"2293218"
"116884,01";"36705,1300000000";"37869,8800000000";"16493,77";"16867,62";"191085,17";"2,156770e+12";"2388561"
"120090,83";"35816,1700000000";"38951,5300000000";"17180,64";"17602,91";"194436,26";"2,305080e+12";"2423833"
"124909,10";"35343,2200000000";"40691,7000000000";"17608,38";"18600,21";"199952,19";"2,658390e+12";"2525048"
"118332,40";"34979,7600000000";"37939,6900000000";"16753,83";"16107,42";"191898,26";"2,132990e+12";"2449139"
"121842,09";"38137,3800000000";"38367,4500000000";"18337,91";"18100,29";"198584,54";"2,404340e+12";"2569476"
"125793,47";"38249,8000000000";"38045,5800000000";"20373,83";"20725,45";"201737,23";"2,571250e+12";"2578060"
"130011,43";"38465,3200000000";"39564,5900000000";"18079,44";"21015,50";"205105,28";"2,919430e+12";"2655679"
"123094,50";"38563,2300000000";"38350,3700000000";"18627,93";"20018,82";"198617,21";"2,408640e+12";"2562436"
"125608,67";"38914,2200000000";"39228,9700000000";"20872,88";"20421,98";"204202,76";"2,672660e+12";"2656364"
"123496,89";"38706,3500000000";"39376,7600000000";"20987,89";"19648,12";"202919,77";"2,833330e+12";"2651331"
"127604,85";"35602,9800000000";"40987,5700000000";"19844,89";"18389,90";"205650,39";"3,171680e+12";"2711685"
"123387,61";"35506,3800000000";"39987,6500000000";"17775,65";"16298,38";"200358,91";"2,629500e+12";"2631119"
"126482,09";"37249,8300000000";"40846,0700000000";"18561,81";"17045,84";"206093,96";"2,919480e+12";"2721842"
"126844,86";"38531,5400000000";"41022,5700000000";"25214,91";"17955,79";"213658,09";"3,125730e+12";"2751463"
"129682,02";"38307,5700000000";"42115,0300000000";"23984,30";"16735,42";"217353,50";"3,497030e+12";"2824686"
"123366,26";"36614,9400000000";"39687,5500000000";"20382,37";"15541,82";"204509,30";"2,982550e+12";"2743734"
"123902,20";"34706,9000000000";"40949,6200000000";"23649,48";"16345,38";"206862,82";"3,253730e+12";"2831413"
"125916,59";"35878,4400000000";"41846,1000000000";"25611,17";"17292,51";"211959,79";"3,529190e+12";"2886905"
"130446,62";"36434,4100000000";"44105,9400000000";"25316,30";"18526,77";"217776,50";"3,976740e+12";"2994399"
"124484,60";"36948,2700000000";"41136,0100000000";"24101,37";"17139,64";"209530,61";"3,454460e+12";"2924602"
"127753,59";"38851,2200000000";"43595,0300000000";"26732,04";"18350,23";"218581,65";"3,870080e+12";"3032386"
