"y";"c";"i";"g";"x";"m"
"392752,143985204";"256501,710680525";"75293,9578761076";"65740,4112801785";"54685,8267423110";"59469,7625939182"
"401927,346453074";"262917,601576948";"77088,5773860334";"66991,1479219917";"56365,8842656013";"61435,8646974999"
"411102,549999835";"269333,493396907";"78883,1971542860";"68241,8847438425";"58045,9417888916";"63401,9670840926"
"420277,753546615";"275749,385216883";"80677,8169225434";"69492,6215656966";"59725,9993121819";"65368,0694706904"
"429452,957093395";"282165,277036859";"82472,4366908008";"70743,3583875507";"61406,0568354722";"67334,1718572883"
"438628,160640175";"288581,168856836";"84267,0564590581";"71994,0952094047";"63086,1143587625";"69300,2742438862"
"447803,364186955";"294997,060676812";"86061,6762273155";"73244,8320312588";"64766,1718820528";"71266,3766304840"
"456978,530576387";"301412,920689866";"87856,2870987067";"74495,5626525581";"66446,2294053431";"73232,4692700870"
"466153,734122345";"307828,812509139";"89650,9068667673";"75746,2994742751";"68126,2869286334";"75198,5716564693"
"475328,937669125";"314244,704329115";"91445,5266350246";"76997,0362961291";"69806,3444519237";"77164,6740430671"
"484504,141215905";"320660,596149091";"93240,1464032821";"78247,7731179833";"71486,4019752140";"79130,7764296650"
"493679,344762685";"327076,487969067";"95034,7661715394";"79498,5099398373";"73166,4594985043";"81096,8788162629"
