,C,G,I,X,M,US,CN,crise
1996-01-01,108013.04,35503.23,33266.71,12645.25,13696.72,1925313.0,1462800000000.0,0
1996-04-01,112161.27,36962.56,36227.64,13904.32,16388.47,2005112.0,1714750000000.0,0
1996-07-01,117771.28,38783.5,37688.09,14175.08,19098.5,2035152.0,1860580000000.0,0
1996-10-01,126373.4,33802.57,37749.32,12205.4,21306.45,2107553.0,2143239999999.9998,0
1997-01-01,116539.91,35940.99,37012.82,12583.75,17469.31,2043518.0,1668910000000.0,0
1997-04-01,118881.66,36670.03,40103.56,15897.84,20292.9,2129626.0,1916360000000.0,0
1997-07-01,120195.36,36566.73,40895.75,16655.43,22132.61,2166497.0,2050090000000.0002,0
1997-10-01,122784.74,37682.08,39120.16,13625.55,20883.42,2237911.0,2336150000000.0,0
1998-01-01,115955.51,36380.05,38304.21,13895.03,18841.59,2160749.0,1804910000000.0,0
1998-04-01,117598.09,37498.74,40965.75,16662.4,19836.49,2249930.0,2029660000000.0,0
1998-07-01,120234.11,38532.6,40401.41,16632.92,21670.63,2281444.0,2177560000000.0,0
1998-10-01,121169.4,39179.92,37203.47,14456.4,20383.77,2370698.0,2507420000000.0,0
1999-01-01,114869.73,36637.39,35087.2,13881.7,15475.85,2293218.0,1936190000000.0,0
1999-04-01,116884.01,37869.88,36705.13,16493.77,16867.62,2388561.0,2156770000000.0,0
1999-07-01,120090.83,38951.53,35816.17,17180.64,17602.91,2423833.0,2305080000000.0,0
1999-10-01,124909.1,40691.7,35343.22,17608.38,18600.21,2525048.0,2658390000000.0,0
2000-01-01,118332.4,37939.69,34979.76,16753.83,16107.42,2449139.0,2132989999999.9998,0
2000-04-01,121842.09,38367.45,38137.38,18337.91,18100.29,2569476.0,2404340000000.0,0
2000-07-01,125793.47,38045.58,38249.8,20373.83,20725.45,2578060.0,2571250000000.0,0
2000-10-01,130011.43,39564.59,38465.32,18079.44,21015.5,2655679.0,2919430000000.0,0
2001-01-01,123094.5,38350.37,38563.23,18627.93,20018.82,2562436.0,2408640000000.0,0
2001-04-01,125608.67,39228.97,38914.22,20872.88,20421.98,2656364.0,2672660000000.0,0
2001-07-01,123496.89,39376.76,38706.35,20987.89,19648.12,2651331.0,2833330000000.0,0
2001-10-01,127604.85,40987.57,35602.98,19844.89,18389.9,2711685.0,3171680000000.0,0
2002-01-01,123387.61,39987.65,35506.38,17775.65,16298.38,2631119.0,2629500000000.0,0
2002-04-01,126482.09,40846.07,37249.83,18561.81,17045.84,2721842.0,2919480000000.0,0
2002-07-01,126844.86,41022.57,38531.54,25214.91,17955.79,2751463.0,3125730000000.0,0
2002-10-01,129682.02,42115.03,38307.57,23984.3,16735.42,2824686.0,3497030000000.0,0
2003-01-01,123366.26,39687.55,36614.94,20382.37,15541.82,2743734.0,2982550000000.0,0
2003-04-01,123902.2,40949.62,34706.9,23649.48,16345.38,2831413.0,3253730000000.0,0
2003-07-01,125916.59,41846.1,35878.44,25611.17,17292.51,2886905.0,3529190000000.0,0
2003-10-01,130446.62,44105.94,36434.41,25316.3,18526.77,2994399.0,3976740000000.0,0
2004-01-01,124484.6,41136.01,36948.27,24101.37,17139.64,2924602.0,3454460000000.0,0
2004-04-01,127753.59,43595.03,38851.22,26732.04,18350.23,3032386.0,3870080000000.0,0
2004-07-01,132070.34,43653.37,40965.46,29120.95,19537.18,3069688.0,4185500000000.0,0
2004-10-01,139083.12,44661.87,39059.96,28749.17,19696.56,3190521.0,4673980000000.0,0
2005-01-01,131105.0,42661.75,37452.43,26483.81,18669.04,3111329.0,4045330000000.0,0
2005-04-01,133874.73,43851.71,40035.15,29707.05,19876.51,3232051.0,4479310000000.0,0
2005-07-01,137862.09,44402.03,41319.97,32296.88,21045.82,3306451.0,4804780000000.0,0
